normalized_title,representative_title,match_status,match_confidence,failure_reason,search_variants
18 wheelsof steel haulin,18 Wheelsof Steel Haulin,unmatched,low,no confident Wikimedia match,
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,unmatched,low,no confident Wikimedia match,
2 ritter auf der suche nach der hinrei enden herzelinde,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,unmatched,low,no confident Wikimedia match,
4 story,4 Story,unmatched,low,no confident Wikimedia match,
442 fussball manager,442 Fussball Manager,unmatched,low,no confident Wikimedia match,
64 bit vier,64 Bit)vier,unmatched,low,no confident Wikimedia match,
abdurchdie hecke,Abdurchdie Hecke,unmatched,low,no confident Wikimedia match,
abenteuer auf dem reiterhof das abenteuer rund ums pferd,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,unmatched,low,no confident Wikimedia match,
abenteueraufdem reiterhof das abenteuerrundums pferd,Abenteueraufdem Reiterhof Das Abenteuerrundums Pferd,unmatched,low,no confident Wikimedia match,
achtung roboter,Achtung Roboter,unmatched,low,no confident Wikimedia match,
acronis true image10 home,Acronis True Image10 Home,unmatched,low,no confident Wikimedia match,
actua soccer featuring oliver bierhoff,Actua Soccer Featuring Oliver Bierhoff,unmatched,low,no confident Wikimedia match,
adash stadt der magie kapitel11,Adash - Stadt der Magie - Kapitel 11,unmatched,low,no confident Wikimedia match,
afrika corps vs,Afrika Corps vs,unmatched,low,no confident Wikimedia match,
agamewitha kitty,AGamewitha Kitty,unmatched,low,no confident Wikimedia match,
agatha christie das bseunterder sonne,Agatha Christie Das Bseunterder Sonne,unmatched,low,no confident Wikimedia match,
agatha christie mordim orient express,Agatha Christie Mordim Orient Express,unmatched,low,no confident Wikimedia match,
agatha christie unddanngabskeinesmehrv,Agatha Christie Unddanngabskeinesmehrv,unmatched,low,no confident Wikimedia match,
ageof conan hyborian adventures,Ageof Conan Hyborian Adventures,unmatched,low,no confident Wikimedia match,
ageof empires ageof discoveryv,Ageof Empires Ageof Discoveryv,unmatched,low,no confident Wikimedia match,
ageof empires the war chiefs,Ageof Empires The War Chiefs,unmatched,low,no confident Wikimedia match,
ageof empires the warchiefsv,Ageof Empires The Warchiefsv,unmatched,low,no confident Wikimedia match,
ageof empires3 the asian dynastiesv101a,Ageof Empires3 The Asian Dynastiesv101a,unmatched,low,no confident Wikimedia match,
ageof empires3 the warchiefsv104a,Ageof Empires3 The Warchiefsv104a,unmatched,low,no confident Wikimedia match,
ageof empiresv,Ageof Empiresv,unmatched,low,no confident Wikimedia match,
ages of empires 3,Ages of Empires 3,unmatched,low,no confident Wikimedia match,
agon the lost swordof toledo,Agon The Lost Swordof Toledo,unmatched,low,no confident Wikimedia match,
air conflicts addon,Air Conflicts Addon,unmatched,low,no confident Wikimedia match,
air strike 3d 2,Air Strike 3 D 2,unmatched,low,no confident Wikimedia match,
airbus a380 excellent,Airbus A380 Excellent Edition,unmatched,low,no confident Wikimedia match,
airlines tycoon deluxe,Airlines Tycoon Deluxe,unmatched,low,no confident Wikimedia match,
al emmoandthe lost dutchmans mine,Al Emmoandthe Lost Dutchmans Mine,unmatched,low,no confident Wikimedia match,
alarmfr cobra nitro,Alarmfr Cobra Nitro,unmatched,low,no confident Wikimedia match,
alarmfr cobra11 crash timev111,Alarmfr Cobra11 Crash Timev111,unmatched,low,no confident Wikimedia match,
alarmfuer cobra crash time,Alarmfuer Cobra Crash Time,unmatched,low,no confident Wikimedia match,
alexander die stunde der helden,Alexander Die Stunde der Helden,unmatched,low,no confident Wikimedia match,
alexander die stundeder helden,Alexander Die Stundeder Helden,unmatched,low,no confident Wikimedia match,
alexthe allegator,Alexthe Allegator,unmatched,low,no confident Wikimedia match,
alien chess,Alien Chess,unmatched,low,no confident Wikimedia match,
alien horde,Alien Horde,unmatched,low,no confident Wikimedia match,
alien shooter2,Alien Shooter2,unmatched,low,no confident Wikimedia match,
all star strip poker,All Star Strip Poker,unmatched,low,no confident Wikimedia match,
alone in the dark komplettl sung,Alone in the Dark Komplettlösung,unmatched,low,no confident Wikimedia match,
alonein the dark,Alonein The Dark,unmatched,low,no confident Wikimedia match,
alonein the dark0,Alonein The Dark0,unmatched,low,no confident Wikimedia match,
aloneinthe dark,Aloneinthe Dark,unmatched,low,no confident Wikimedia match,
aloneinthe dark komplettlsung,Aloneinthe Dark Komplettlsung,unmatched,low,no confident Wikimedia match,
alternate flip,Alternate Flip,unmatched,low,no confident Wikimedia match,
alundo,Alundo,unmatched,low,no confident Wikimedia match,
ancient wars sparta fateof hellasv14,Ancient Wars Sparta Fateof Hellasv14,unmatched,low,no confident Wikimedia match,
andersens maedchen,Andersens Maedchen,unmatched,low,no confident Wikimedia match,
angel knig spinnfischenin deutschland,Angel Knig Spinnfischenin Deutschland,unmatched,low,no confident Wikimedia match,
angriff auf die westfront,Angriff auf die Westfront,unmatched,low,no confident Wikimedia match,
ankh herzdes osiris,Ankh Herzdes Osiris,unmatched,low,no confident Wikimedia match,
ankh herzdes osirisv,Ankh Herzdes Osirisv,unmatched,low,no confident Wikimedia match,
ankh kampfder gtter,Ankh Kampfder Gtter,unmatched,low,no confident Wikimedia match,
anno1701 der fluchdes drachen add on,Anno1701 Der Fluchdes Drachen Add On,unmatched,low,no confident Wikimedia match,
another worldth anniversary,Another Worldth Anniversary Edition,unmatched,low,no confident Wikimedia match,
ansto,Ansto Edition,unmatched,low,no confident Wikimedia match,
anstov,Anstov,unmatched,low,no confident Wikimedia match,
anstov zwei,Anstov Zwei,unmatched,low,no confident Wikimedia match,
anti twin,Anti Twin,unmatched,low,no confident Wikimedia match,
antira mexiko,"Antira, Mexiko",unmatched,low,no confident Wikimedia match,
apassionata die galanacht der pferde,Apassionata - Die Galanacht der Pferde,unmatched,low,no confident Wikimedia match,
arcade race crash,Arcade Race Crash,unmatched,low,no confident Wikimedia match,
armed assaultv,Armed Assaultv,unmatched,low,no confident Wikimedia match,
armiesof exigo,Armiesof Exigo,unmatched,low,no confident Wikimedia match,
armor digit,armor digit,unmatched,low,no confident Wikimedia match,
armour of god 2,Armour of God 2,unmatched,low,no confident Wikimedia match,
armourof god2,Armourof God2,unmatched,low,no confident Wikimedia match,
arthurunddie minimoys,Arthurunddie Minimoys,unmatched,low,no confident Wikimedia match,
ashampoo power up xpplatinum2,Ashampoo Power Up XPPlatinum2,unmatched,low,no confident Wikimedia match,
ashampoo win optimizer 4,Ashampoo Win Optimizer 4,unmatched,low,no confident Wikimedia match,
ashampoo win optimizer4,Ashampoo Win Optimizer4,unmatched,low,no confident Wikimedia match,
assassins creed spieltricks,Assassins Creed Spieltricks,unmatched,low,no confident Wikimedia match,
athletics,Athletics,unmatched,low,matched a generic sport concept instead of a specific software title,
atlantis dasheilige vermchtnis,Atlantis Dasheilige Vermchtnis,unmatched,low,no confident Wikimedia match,
atomund molekl,Atomund Molekl,unmatched,low,no confident Wikimedia match,
attackon pearl harbor,Attackon Pearl Harbor,unmatched,low,no confident Wikimedia match,
auer gefahr,Auer Gefahr,unmatched,low,no confident Wikimedia match,
aura dieheiligen ringe,Aura Dieheiligen Ringe,unmatched,low,request failed for https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Aura+Dieheiligen+Ringe&srlimit=5&format=json: HTTP Error 429: Too Many Requests,
aura tor zur ewigkeit,Aura Tor zur Ewigkeit,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Aura+Tor+zur+Ewigkeit&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
aura tor zur ewigkeit v 1,Aura Tor zur Ewigkeit v 1,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Aura+Tor+zur+Ewigkeit+v+1&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
aurora watching,Aurora Watching,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Aurora+Watching&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
auto cross racing,Auto Cross Racing,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Auto+Cross+Racing&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
autobahn raser 2,Autobahn Raser 2,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Autobahn+Raser+2&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
autobahn raser 4,Autobahn Raser 4,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Autobahn+Raser+4&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
autobahn raser das spiel,Autobahn Raser Das Spiel,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Autobahn+Raser+Das+Spiel&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
autobahn raser spiel zum film,Autobahn Raser Spiel zum Film,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Autobahn+Raser+Spiel+zum+Film&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
autobahn raser w,Autobahn Raser W,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Autobahn+Raser+W&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
autobahnraser 3,Autobahnraser 3,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Autobahnraser+3&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
avencast riseofa mage,Avencast Riseofa Mage,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Avencast+Riseofa+Mage&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
aw nuts,Aw Nuts,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Aw+Nuts&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
axe snake peel,Axe Snake Peel,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Axe+Snake+Peel&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
azteca,Azteca,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Azteca&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
backgammon xxl,Backgammon XXL,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Backgammon+XXL&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bacuda,Bacuda,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bacuda&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bagger simulator,Bagger Simulator,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bagger+Simulator&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baldur s gate,Baldur's Gate,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baldur%27s+Gate&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
